id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
04-130,China,CHN,"710","2008","38926",Liangshan Yi,"2",Sichuan,Liangshan Yi,NA,Long En village ,"0",NA,landslide,2008-0596,"27.88707213","102.0759596"
04-133,China,CHN,"710","2009","38940",Jixi,"2",Heilongjiang,Jixi,NA,Jixi district ,"0",NA,landslide,2009-0285,"45.54158193","132.3049536"
04-135,China,CHN,"710","2009","38944",Wulong,"3",Chongqing,Chongqing,Wulong,Wulong Xian area ,"0",NA,landslide,2009-0218,"29.37799167","107.7042088"
14-Apr,Afghanistan,AFG,"700","2012","38957",Shahri Buzurg,"2",Badakhshan,Shahri Buzurg,NA, Shahr-e-Buzorg,"0",NA,landslide,2012-0013,"37.36909045","70.12938537"
14-Apr,Afghanistan,AFG,"700","2012","38958",Ishkashim,"2",Badakhshan,Ishkashim,NA, Eshkmesh,"0",NA,landslide,2012-0013,"36.80779342","71.42759775"
14-Apr,Afghanistan,AFG,"700","2012","38959",Khwahan,"2",Badakhshan,Khwahan,NA, Khwahan,"0",NA,landslide,2012-0013,"37.90202924","70.57609371"
04-144,China,CHN,"710","2010","38973",Baoshan,"2",Yunnan,Baoshan,NA,Baoshan city ,"0",NA,landslide,2010-0464,"24.97925804","98.972381"
04-145,China,CHN,"710","2011","38974",Deyang,"2",Sichuan,Deyang,NA,Deyang district,"0",NA,landslide,2011-0156,"31.1340846","104.4293611"
04-147,China,CHN,"710","2012","38980",Kunming,"2",Yunnan,Kunming,NA,Zhenhe village  ,"0",NA,landslide,2012-0455,"25.38710811","102.8750874"
04-150,China,CHN,"710","2013","38990",Chengdu,"2",Sichuan,Chengdu,NA,Zhongxing village ,"0",NA,landslide,2013-0245,"30.66543905","103.8454299"
04-152,China,CHN,"710","2014","38994",Dazhou,"2",Sichuan,Dazhou,NA,Dazhou,"0",NA,landslide,2014-0572,"31.36552868","107.6456098"
04-153,China,CHN,"710","2015","38999",Lishui,"2",Zhejiang,Lishui,NA,Lindong village ,"0",NA,landslide,2015-0510,"28.19819235","119.510213"
04-154,China,CHN,"710","2016","39009",Sanming,"2",Fujian,Sanming,NA,Sanming district ,"0",NA,landslide,2016-0162,"26.29994742","117.3951961"
04-155,China,CHN,"710","2016","39013",Bijie,"2",Guizhou,Bijie,NA,Bijie district,"0",NA,landslide,2016-0250,"27.06817965","105.214396"
04-156,China,CHN,"710","2016","39014",Kuitun,"3",Xinjiang Uygur,Ili Kazakh,Kuitun,Kunlun mountain ,"0",NA,landslide,2016-0255,"44.5313849","85.00503444"
04-157,China,CHN,"710","2017","39017",Nanzhang,"3",Hubei,Xiangfan,Nanzhang,Nanzhang county ,"0",NA,landslide,2017-0044,"31.64359303","111.7537008"
